x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,255-255-255,255-255-255,255-255-255,255-255-255,x,x,x,x,x,x,x,x,x,x,x,x,x
x,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,x,x,x,x,x,x,x,x,x,x,x,x
x,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,x,x,x,x,x,x,x,x,x,x,x
x,x,x,255-255-255,255-255-255,255-255-255,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,255-167-38,255-167-38,255-167-38,255-167-38,255-167-38,x,x,x,x,x,x,x,x
x,x,x,x,x,x,255-167-38,255-167-38,255-167-38,255-167-38,255-167-38,255-167-38,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,255-167-38,255-167-38,255-167-38,255-167-38,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
