x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,224-224-224,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,224-224-224,224-224-224,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,224-224-224,224-224-224,224-224-224,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,183-28-28,224-224-224,224-224-224,224-224-224,x,x,x,x,x,x,x,x
x,x,x,x,x,x,224-224-224,224-224-224,224-224-224,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,224-224-224,224-224-224,224-224-224,x,x,x,x,x,x,x
x,x,x,x,x,224-224-224,255-255-255,255-255-255,255-255-255,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,255-255-255,255-255-255,224-224-224,224-224-224,x,x,x,x,x,x
x,x,x,x,224-224-224,255-255-255,255-255-255,255-255-255,255-255-255,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,255-255-255,255-255-255,255-255-255,224-224-224,224-224-224,x,x,x,x,x
x,x,x,183-28-28,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,x,x,x,x,x
x,x,183-28-28,244-67-54,183-28-28,224-224-224,255-255-255,255-255-255,255-255-255,255-255-255,183-28-28,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,244-67-54,244-67-54,183-28-28,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,244-67-54,183-28-28,x,x,x,x
x,x,183-28-28,244-67-54,244-67-54,183-28-28,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,183-28-28,183-28-28,183-28-28,183-28-28,244-67-54,244-67-54,183-28-28,183-28-28,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,244-67-54,244-67-54,183-28-28,x,x,x
x,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,183-28-28,255-255-255,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,183-28-28,244-67-54,183-28-28,x,x,x
x,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,183-28-28,244-67-54,183-28-28,x,x,x
x,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,183-28-28,244-67-54,183-28-28,x,x,x
x,183-28-28,183-28-28,244-67-54,244-67-54,244-67-54,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,224-224-224,183-28-28,183-28-28,244-67-54,183-28-28,x,x,x
